org,name,position,date,district
Colorado DA Rubinstein,Gordon P. Gallagher,united states district judge for the district of colorado,"Tuesday, December 13, 2022", district of colorado
Former MCBA Presidents And Attorneys,Gordon P. Gallagher,united states district judge for the district of colorado,"Tuesday, December 13, 2022", district of colorado
Former CO US Attorneys,Gordon P. Gallagher,united states district judge for the district of colorado,"Tuesday, December 13, 2022", district of colorado
Grand Junction Legal Community,Gordon P. Gallagher,united states district judge for the district of colorado,"Tuesday, December 13, 2022", district of colorado
HAP And Mesa County Libraries,Gordon P. Gallagher,united states district judge for the district of colorado,"Tuesday, December 13, 2022", district of colorado
Mesa County DAs And Sheriffs,Gordon P. Gallagher,united states district judge for the district of colorado,"Tuesday, December 13, 2022", district of colorado
Riverside Educational Center,Gordon P. Gallagher,united states district judge for the district of colorado,"Tuesday, December 13, 2022", district of colorado
Ute Mountain Ute Tribe,Gordon P. Gallagher,united states district judge for the district of colorado,"Tuesday, December 13, 2022", district of colorado
Western CO Attorneys,Gordon P. Gallagher,united states district judge for the district of colorado,"Tuesday, December 13, 2022", district of colorado
Former AAG Eric Dreiband,P. Casey Pitts,united states district judge for the northern district of california,"Tuesday, December 13, 2022", northern district of california
Stephen Cannon,P. Casey Pitts,united states district judge for the northern district of california,"Tuesday, December 13, 2022", northern district of california
National Education Association,P. Casey Pitts,united states district judge for the northern district of california,"Tuesday, December 13, 2022", northern district of california
William Baude,P. Casey Pitts,united states district judge for the northern district of california,"Tuesday, December 13, 2022", northern district of california
FCC Deputy GC Boizelle,P. Casey Pitts,united states district judge for the northern district of california,"Tuesday, December 13, 2022", northern district of california
Major General Mark Malanka,Andrew G. Schopler,united states district judge for the southern district of california,"Tuesday, December 13, 2022", southern district of california
Judge Irma Gonzalez,Andrew G. Schopler,united states district judge for the southern district of california,"Tuesday, December 13, 2022", southern district of california
Former Law Clerks,Andrew G. Schopler,united states district judge for the southern district of california,"Tuesday, December 13, 2022", southern district of california
Harvard Law School Classmates,Andrew G. Schopler,united states district judge for the southern district of california,"Tuesday, December 13, 2022", southern district of california
Former SCOTUS Clerks,Arun Subramanian,united states district judge for the southern district of new york,"Tuesday, December 13, 2022", southern district of new york
SABANY/AABANY/SABANA,Arun Subramanian,united states district judge for the southern district of new york,"Tuesday, December 13, 2022", southern district of new york
Colleagues At Susman Godfrey,Arun Subramanian,united states district judge for the southern district of new york,"Tuesday, December 13, 2022", southern district of new york
Columbia Law Review Board,Arun Subramanian,united states district judge for the southern district of new york,"Tuesday, December 13, 2022", southern district of new york
Co-Counsel Eric Havian,Arun Subramanian,united states district judge for the southern district of new york,"Tuesday, December 13, 2022", southern district of new york
Columbia Law Review,Arun Subramanian,united states district judge for the southern district of new york,"Tuesday, December 13, 2022", southern district of new york
Assistant USA And Retired Navy JAG,Jonathan James Canada Grey,united states district judge for the eastern district of michigan,"Wednesday, November 30, 2022", eastern district of michigan
DEA Assistant Special Agent,Jonathan James Canada Grey,united states district judge for the eastern district of michigan,"Wednesday, November 30, 2022", eastern district of michigan
Former USA Barbara McQuade,Jonathan James Canada Grey,united states district judge for the eastern district of michigan,"Wednesday, November 30, 2022", eastern district of michigan
Former USA David DeVillers,Jonathan James Canada Grey,united states district judge for the eastern district of michigan,"Wednesday, November 30, 2022", eastern district of michigan
Retired DHS Special Agent,Jonathan James Canada Grey,united states district judge for the eastern district of michigan,"Wednesday, November 30, 2022", eastern district of michigan
Current And Former MA AGs,Julia E. Kobick,united states district judge for the district of massachusetts,"Wednesday, November 30, 2022", district of massachusetts
Justice Ginsburg Co-Clerks,Julia E. Kobick,united states district judge for the district of massachusetts,"Wednesday, November 30, 2022", district of massachusetts
MA Trial And Appellate Judges,Julia E. Kobick,united states district judge for the district of massachusetts,"Wednesday, November 30, 2022", district of massachusetts
Opposing Counsel,Julia E. Kobick,united states district judge for the district of massachusetts,"Wednesday, November 30, 2022", district of massachusetts
MA Lawyers And Legal Scholars,Julia E. Kobick,united states district judge for the district of massachusetts,"Wednesday, November 30, 2022", district of massachusetts
Former Senior Legal Counsels To Gov. Baker,Julia E. Kobick,united states district judge for the district of massachusetts,"Wednesday, November 30, 2022", district of massachusetts
Judge Bruce Chan,Rita F. Lin,united states district judge for the northern district of california,"Wednesday, November 30, 2022", northern district of california
CA APABA,Rita F. Lin,united states district judge for the northern district of california,"Wednesday, November 30, 2022", northern district of california
Former NDCA USAs,Rita F. Lin,united states district judge for the northern district of california,"Wednesday, November 30, 2022", northern district of california
San Francisco Superior Court Judges,Rita F. Lin,united states district judge for the northern district of california,"Wednesday, November 30, 2022", northern district of california
AJF,Rita F. Lin,united states district judge for the northern district of california,"Wednesday, November 30, 2022", northern district of california
Richmond VA Lawyers,Robert Stewart Ballou,united states district judge for the western district of virginia,"Tuesday, November 15, 2022", western district of virginia
VA Construction Attorneys,Robert Stewart Ballou,united states district judge for the western district of virginia,"Tuesday, November 15, 2022", western district of virginia
Roanoke VA Lawyers,Robert Stewart Ballou,united states district judge for the western district of virginia,"Tuesday, November 15, 2022", western district of virginia
Former USAs For WD-VA,Robert Stewart Ballou,united states district judge for the western district of virginia,"Tuesday, November 15, 2022", western district of virginia
57 Criminal And Civil Attorneys,Robert Stewart Ballou,united states district judge for the western district of virginia,"Tuesday, November 15, 2022", western district of virginia
52 Law Professors,Todd E. Edelman,united states district judge for the district of columbia,"Tuesday, November 15, 2022", district of columbia
DC AG Racine,Todd E. Edelman,united states district judge for the district of columbia,"Tuesday, November 15, 2022", district of columbia
DC Superior Court Judges,Todd E. Edelman,united states district judge for the district of columbia,"Tuesday, November 15, 2022", district of columbia
DV Advocates,Todd E. Edelman,united states district judge for the district of columbia,"Tuesday, November 15, 2022", district of columbia
Former Bush HHS Official Stewart Simonson,Todd E. Edelman,united states district judge for the district of columbia,"Tuesday, November 15, 2022", district of columbia
Former DC AG Irvin Nathan,Todd E. Edelman,united states district judge for the district of columbia,"Tuesday, November 15, 2022", district of columbia
Former ED Of DC Legal Aid Society Eric Angel,Todd E. Edelman,united states district judge for the district of columbia,"Tuesday, November 15, 2022", district of columbia
Former Law Clerks,Todd E. Edelman,united states district judge for the district of columbia,"Tuesday, November 15, 2022", district of columbia
Former Prosecutors,Todd E. Edelman,united states district judge for the district of columbia,"Tuesday, November 15, 2022", district of columbia
Rep. Constance Morella,Todd E. Edelman,united states district judge for the district of columbia,"Tuesday, November 15, 2022", district of columbia
Stuart Nash,Todd E. Edelman,united states district judge for the district of columbia,"Tuesday, November 15, 2022", district of columbia
Washington Council Of Lawyers,Todd E. Edelman,united states district judge for the district of columbia,"Tuesday, November 15, 2022", district of columbia
WBA,Todd E. Edelman,united states district judge for the district of columbia,"Tuesday, November 15, 2022", district of columbia
AFJ,Todd E. Edelman,united states district judge for the district of columbia,"Tuesday, November 15, 2022", district of columbia
CO AG Weiser,Todd E. Edelman,united states district judge for the district of columbia,"Tuesday, November 15, 2022", district of columbia
Former Opposing Counsel Justin Dillon,Todd E. Edelman,united states district judge for the district of columbia,"Tuesday, November 15, 2022", district of columbia
NELA,Todd E. Edelman,united states district judge for the district of columbia,"Tuesday, November 15, 2022", district of columbia
Pacifica Law Group Managing Partner,Kymberly Kathryn Evanson,united states district judge for the western district of washington,"Tuesday, November 15, 2022", western district of washington
24 Former Sullivan Clerks,Kymberly Kathryn Evanson,united states district judge for the western district of washington,"Tuesday, November 15, 2022", western district of washington
AG Racine,Kymberly Kathryn Evanson,united states district judge for the western district of washington,"Tuesday, November 15, 2022", western district of washington
ED And General Counsel Of IMLA,Kymberly Kathryn Evanson,united states district judge for the western district of washington,"Tuesday, November 15, 2022", western district of washington
ED Of Seattle Clemency Project,Kymberly Kathryn Evanson,united states district judge for the western district of washington,"Tuesday, November 15, 2022", western district of washington
"""Former Chief Of Civil Division In Seattle City Attorneys Office""",Kymberly Kathryn Evanson,united states district judge for the western district of washington,"Tuesday, November 15, 2022", western district of washington
Former Opposing Counsel Schromen-Wawrin,Kymberly Kathryn Evanson,united states district judge for the western district of washington,"Tuesday, November 15, 2022", western district of washington
Former Sullivan Clerk,Kymberly Kathryn Evanson,united states district judge for the western district of washington,"Tuesday, November 15, 2022", western district of washington
Former VA Supervisor,Kymberly Kathryn Evanson,united states district judge for the western district of washington,"Tuesday, November 15, 2022", western district of washington
Jonathan McQuade,Kymberly Kathryn Evanson,united states district judge for the western district of washington,"Tuesday, November 15, 2022", western district of washington
Judge Janet Chung And David Ward,Kymberly Kathryn Evanson,united states district judge for the western district of washington,"Tuesday, November 15, 2022", western district of washington
"""King County Prosecuting Attorneys Office Deputy COS""",Kymberly Kathryn Evanson,united states district judge for the western district of washington,"Tuesday, November 15, 2022", western district of washington
"""Member Of King County Prosecuting Attorneys Office""",Kymberly Kathryn Evanson,united states district judge for the western district of washington,"Tuesday, November 15, 2022", western district of washington
Opposing Counsel,Kymberly Kathryn Evanson,united states district judge for the western district of washington,"Tuesday, November 15, 2022", western district of washington
Philadelphia City Solicitor,Kymberly Kathryn Evanson,united states district judge for the western district of washington,"Tuesday, November 15, 2022", western district of washington
Portland Chief Deputy City Attorney,Kymberly Kathryn Evanson,united states district judge for the western district of washington,"Tuesday, November 15, 2022", western district of washington
President Of Seattle University,Kymberly Kathryn Evanson,united states district judge for the western district of washington,"Tuesday, November 15, 2022", western district of washington
Seattle Assistant City Attorney,Kymberly Kathryn Evanson,united states district judge for the western district of washington,"Tuesday, November 15, 2022", western district of washington
WDWA FBA,Kymberly Kathryn Evanson,united states district judge for the western district of washington,"Tuesday, November 15, 2022", western district of washington
AALAM,Myong J. Joun,united states district judge for the district of massachusetts,"Tuesday, November 15, 2022", district of massachusetts
Boston Municipal Court Judges,Myong J. Joun,united states district judge for the district of massachusetts,"Tuesday, November 15, 2022", district of massachusetts
Former Boston Police Commissioner Evans,Myong J. Joun,united states district judge for the district of massachusetts,"Tuesday, November 15, 2022", district of massachusetts
Former Police Chief And Commissioner Edward Davis,Myong J. Joun,united states district judge for the district of massachusetts,"Tuesday, November 15, 2022", district of massachusetts
Former USA,Myong J. Joun,united states district judge for the district of massachusetts,"Tuesday, November 15, 2022", district of massachusetts
Justice Geraldine S. Hines,Myong J. Joun,united states district judge for the district of massachusetts,"Tuesday, November 15, 2022", district of massachusetts
Suffolk County Assistant DAs,Myong J. Joun,united states district judge for the district of massachusetts,"Tuesday, November 15, 2022", district of massachusetts
AFJ,Myong J. Joun,united states district judge for the district of massachusetts,"Tuesday, November 15, 2022", district of massachusetts
Justice Peter Cavanagh,Colleen R. Lawless,united states district judge for the central district of illinois,"Tuesday, November 15, 2022", central district of illinois
Gordon Gates,Colleen R. Lawless,united states district judge for the central district of illinois,"Tuesday, November 15, 2022", central district of illinois
Howard Feldman,Colleen R. Lawless,united states district judge for the central district of illinois,"Tuesday, November 15, 2022", central district of illinois
IL 7th Circuit Judges,Colleen R. Lawless,united states district judge for the central district of illinois,"Tuesday, November 15, 2022", central district of illinois
Judge Maurer,Colleen R. Lawless,united states district judge for the central district of illinois,"Tuesday, November 15, 2022", central district of illinois
Sojourn,Colleen R. Lawless,united states district judge for the central district of illinois,"Tuesday, November 15, 2022", central district of illinois
Former Justice Stevens Clerks,Daniel J. Calabretta,united states district judge for the eastern district of california,"Wednesday, October 12, 2022", eastern district of california
Judge Bowman,Daniel J. Calabretta,united states district judge for the eastern district of california,"Wednesday, October 12, 2022", eastern district of california
Sacramento County Superior Court Judges,Daniel J. Calabretta,united states district judge for the eastern district of california,"Wednesday, October 12, 2022", eastern district of california
AFJ,Daniel J. Calabretta,united states district judge for the eastern district of california,"Wednesday, October 12, 2022", eastern district of california
New Mexico AG Balderas,Matthew L. Garcia,united states district judge for the district of new mexico,"Wednesday, October 12, 2022", district of new mexico
NM Trial Lawyers Association,Matthew L. Garcia,united states district judge for the district of new mexico,"Wednesday, October 12, 2022", district of new mexico
Secretary Of DPS Bowie And State Police Chief Johnson,Matthew L. Garcia,united states district judge for the district of new mexico,"Wednesday, October 12, 2022", district of new mexico
Former USA John Anderson,Matthew L. Garcia,united states district judge for the district of new mexico,"Wednesday, October 12, 2022", district of new mexico
Judge William Johnson,Matthew L. Garcia,united states district judge for the district of new mexico,"Wednesday, October 12, 2022", district of new mexico
NM Republican Party General Counsel Harrison,Matthew L. Garcia,united states district judge for the district of new mexico,"Wednesday, October 12, 2022", district of new mexico
Judge James Browning,Matthew L. Garcia,united states district judge for the district of new mexico,"Wednesday, October 12, 2022", district of new mexico
New Mexico Legal Community,Matthew L. Garcia,united states district judge for the district of new mexico,"Wednesday, October 12, 2022", district of new mexico
AFJ,Matthew L. Garcia,united states district judge for the district of new mexico,"Wednesday, October 12, 2022", district of new mexico
Cincinnati Professionals,Jeffery Paul Hopkins,united states district judge for the southern district of ohio,"Wednesday, October 12, 2022", southern district of ohio
Federal Defenders,Lindsay C. Jenkins,united states district judge for the northern district of illinois,"Wednesday, October 12, 2022", northern district of illinois
Former Republican State Legislator Max Williams,Adrienne C. Nelson,united states district judge for the district of oregon,"Wednesday, October 12, 2022", district of oregon
Former US Attorney,Adrienne C. Nelson,united states district judge for the district of oregon,"Wednesday, October 12, 2022", district of oregon
Oregon Supreme Court Justices,Adrienne C. Nelson,united states district judge for the district of oregon,"Wednesday, October 12, 2022", district of oregon
Sheriff Michael Reese,Adrienne C. Nelson,united states district judge for the district of oregon,"Wednesday, October 12, 2022", district of oregon
Benton County District Attorney,Adrienne C. Nelson,united states district judge for the district of oregon,"Wednesday, October 12, 2022", district of oregon
Columbia County DA,Adrienne C. Nelson,united states district judge for the district of oregon,"Wednesday, October 12, 2022", district of oregon
Former Republican Senate Staffer And ED Of OR Historical Society,Adrienne C. Nelson,united states district judge for the district of oregon,"Wednesday, October 12, 2022", district of oregon
Wasco County DAs,Adrienne C. Nelson,united states district judge for the district of oregon,"Wednesday, October 12, 2022", district of oregon
AFJ,Adrienne C. Nelson,united states district judge for the district of oregon,"Wednesday, October 12, 2022", district of oregon
Portland Business Alliance,Adrienne C. Nelson,united states district judge for the district of oregon,"Wednesday, October 12, 2022", district of oregon
NOBLE,Adrienne C. Nelson,united states district judge for the district of oregon,"Wednesday, October 12, 2022", district of oregon
"""Chief Of Worcester County DAs Office""",Margaret R. Guzman,united states district judge for the district of massachusetts,"Wednesday, September 21, 2022", district of massachusetts
Committee On Public Counsel Services Colleagues,Margaret R. Guzman,united states district judge for the district of massachusetts,"Wednesday, September 21, 2022", district of massachusetts
Educator,Margaret R. Guzman,united states district judge for the district of massachusetts,"Wednesday, September 21, 2022", district of massachusetts
Former Assistant DA,Margaret R. Guzman,united states district judge for the district of massachusetts,"Wednesday, September 21, 2022", district of massachusetts
Former State Senator And DA Conte,Margaret R. Guzman,united states district judge for the district of massachusetts,"Wednesday, September 21, 2022", district of massachusetts
Justice Mehta,Margaret R. Guzman,united states district judge for the district of massachusetts,"Wednesday, September 21, 2022", district of massachusetts
President Of Justice Harry J. Elam Judicial Conference,Margaret R. Guzman,united states district judge for the district of massachusetts,"Wednesday, September 21, 2022", district of massachusetts
Worcester County Bar Association,Margaret R. Guzman,united states district judge for the district of massachusetts,"Wednesday, September 21, 2022", district of massachusetts
Worcester Regional Chamber Of Commerce,Margaret R. Guzman,united states district judge for the district of massachusetts,"Wednesday, September 21, 2022", district of massachusetts
Dismas House,Margaret R. Guzman,united states district judge for the district of massachusetts,"Wednesday, September 21, 2022", district of massachusetts
Four Assistant DAs,Margaret R. Guzman,united states district judge for the district of massachusetts,"Wednesday, September 21, 2022", district of massachusetts
Chief Justice Dawley,Margaret R. Guzman,united states district judge for the district of massachusetts,"Wednesday, September 21, 2022", district of massachusetts
EDVA Judge Jackson,Jamar K. Walker,united states district judge for the eastern district of virginia,"Wednesday, September 21, 2022", eastern district of virginia
Former EDVA U.S. Attorneys,Jamar K. Walker,united states district judge for the eastern district of virginia,"Wednesday, September 21, 2022", eastern district of virginia
Former Prosecutors And Public Defenders,Jamar K. Walker,united states district judge for the eastern district of virginia,"Wednesday, September 21, 2022", eastern district of virginia
Presiding Elder Of VA Conference Of The AME,Jamar K. Walker,united states district judge for the eastern district of virginia,"Wednesday, September 21, 2022", eastern district of virginia
AFJ,Jamal N. Whitehead,united states district judge for the western district of washington,"Wednesday, September 21, 2022", western district of washington
Law Partner Lindsay Halm,Jamal N. Whitehead,united states district judge for the western district of washington,"Wednesday, September 21, 2022", western district of washington
Mentee Christopher Sanders,Jamal N. Whitehead,united states district judge for the western district of washington,"Wednesday, September 21, 2022", western district of washington
National Employment Lawyers Association,Jamal N. Whitehead,united states district judge for the western district of washington,"Wednesday, September 21, 2022", western district of washington
Seattle University Law Dean Varona,Jamal N. Whitehead,united states district judge for the western district of washington,"Wednesday, September 21, 2022", western district of washington
WA Disability Rights Orgs,Jamal N. Whitehead,united states district judge for the western district of washington,"Wednesday, September 21, 2022", western district of washington
WDWA FBA,Jamal N. Whitehead,united states district judge for the western district of washington,"Wednesday, September 21, 2022", western district of washington
WA Employment Lawyers Association,Jamal N. Whitehead,united states district judge for the western district of washington,"Wednesday, September 21, 2022", western district of washington
Washington State Association For Justice,Jamal N. Whitehead,united states district judge for the western district of washington,"Wednesday, September 21, 2022", western district of washington
"""Barristers Assoc. Of Philadelphia""",Kelley Brisbon Hodge,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Philadelphia Bar Assoc.,Kelley Brisbon Hodge,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Former PBA President,Kelley Brisbon Hodge,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Judge Neifield,Kelley Brisbon Hodge,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Opposing Counsel,Kelley Brisbon Hodge,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Academia,Kelley Brisbon Hodge,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Current And Former Prosecutors,Kelley Brisbon Hodge,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
PA Commission On Crime And Delinquency,Kelley Brisbon Hodge,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Deputy Dir. Of Human Relations,Kelley Brisbon Hodge,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Former Chancellor Of PBA,Kelley Brisbon Hodge,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
PA DA Association,Kelley Brisbon Hodge,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
VA Defender,Kelley Brisbon Hodge,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
UVA Professor Robinson,Kelley Brisbon Hodge,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Colleague,John Frank Murphy,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Former Co-Counsel,John Frank Murphy,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Former Federal Circuit Clerks,John Frank Murphy,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Law Professor,John Frank Murphy,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
TACT Owner,Mia Roberts Perez,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
