org,name,position,date,district
NCJW,Dale E. Ho,united states district judge for the southern district of new york,"Wednesday, December 1, 2021", southern district of new york
AAPI,Dale E. Ho,united states district judge for the southern district of new york,"Wednesday, December 1, 2021", southern district of new york
NAPABA,John H. Chun,united states district judge for the northern district of ohio,"Wednesday, November 17, 2021", northern district of ohio
Jon Meyer,Samantha D. Elliott,united states district judge for the district of new hampshire,"Wednesday, November 3, 2021", district of new hampshire
Caroline Leonard NHWBA,Samantha D. Elliott,united states district judge for the district of new hampshire,"Wednesday, November 3, 2021", district of new hampshire
Chuck Douglas,Samantha D. Elliott,united states district judge for the district of new hampshire,"Wednesday, November 3, 2021", district of new hampshire
Deborah Kein Rein & John Tobin,Samantha D. Elliott,united states district judge for the district of new hampshire,"Wednesday, November 3, 2021", district of new hampshire
George Moore,Samantha D. Elliott,united states district judge for the district of new hampshire,"Wednesday, November 3, 2021", district of new hampshire
Judge Hicks,Samantha D. Elliott,united states district judge for the district of new hampshire,"Wednesday, November 3, 2021", district of new hampshire
Kate Frey,Samantha D. Elliott,united states district judge for the district of new hampshire,"Wednesday, November 3, 2021", district of new hampshire
Kile Adumene,Samantha D. Elliott,united states district judge for the district of new hampshire,"Wednesday, November 3, 2021", district of new hampshire
Federal Defenders Of San Diego,Linda Lopez,united states district judge for the southern district of california,"Wednesday, November 3, 2021", southern district of california
Federal Prosecutors,Linda Lopez,united states district judge for the southern district of california,"Wednesday, November 3, 2021", southern district of california
55 Current And Former Law Enforcement Attorneys,Jinsook Ohta,united states district judge for the southern district of california,"Wednesday, November 3, 2021", southern district of california
NAPABA,Jinsook Ohta,united states district judge for the southern district of california,"Wednesday, November 3, 2021", southern district of california
Charles Peifer,David Herrera Urias,united states district judge for the district of new mexico,"Wednesday, November 3, 2021", district of new mexico
Dean Sergio Pareja,David Herrera Urias,united states district judge for the district of new mexico,"Wednesday, November 3, 2021", district of new mexico
Dennis Maez,David Herrera Urias,united states district judge for the district of new mexico,"Wednesday, November 3, 2021", district of new mexico
Erlinda Ocampo Johnson,David Herrera Urias,united states district judge for the district of new mexico,"Wednesday, November 3, 2021", district of new mexico
Gene Tierney,David Herrera Urias,united states district judge for the district of new mexico,"Wednesday, November 3, 2021", district of new mexico
Jessica Hernandez,David Herrera Urias,united states district judge for the district of new mexico,"Wednesday, November 3, 2021", district of new mexico
Judge Briana Zamora,David Herrera Urias,united states district judge for the district of new mexico,"Wednesday, November 3, 2021", district of new mexico
Judge Martha Vazquez,David Herrera Urias,united states district judge for the district of new mexico,"Wednesday, November 3, 2021", district of new mexico
Lisa Torraco,David Herrera Urias,united states district judge for the district of new mexico,"Wednesday, November 3, 2021", district of new mexico
NMHBA,David Herrera Urias,united states district judge for the district of new mexico,"Wednesday, November 3, 2021", district of new mexico
Matthew Diggs,Mary Katherine Dimke,united states district judge for the eastern district of washington,"Wednesday, October 20, 2021", eastern district of washington
Rick Hoffman,Mary Katherine Dimke,united states district judge for the eastern district of washington,"Wednesday, October 20, 2021", eastern district of washington
Judge Brandlin,Maame Ewusi-Mensah Frimpong,united states district judge for the central district of california,"Wednesday, October 20, 2021", central district of california
Judges Hoffstadt And Rodriguez,Maame Ewusi-Mensah Frimpong,united states district judge for the central district of california,"Wednesday, October 20, 2021", central district of california
Judge Brazile,Maame Ewusi-Mensah Frimpong,united states district judge for the central district of california,"Wednesday, October 20, 2021", central district of california
Judge Gordon,Maame Ewusi-Mensah Frimpong,united states district judge for the central district of california,"Wednesday, October 20, 2021", central district of california
Defense Counsel,Charlotte N. Sweeney,united states district judge for the district of colorado,"Wednesday, October 20, 2021", district of colorado
Former Judges,Charlotte N. Sweeney,united states district judge for the district of colorado,"Wednesday, October 20, 2021", district of colorado
Law Professors,Charlotte N. Sweeney,united states district judge for the district of colorado,"Wednesday, October 20, 2021", district of colorado
Rhodes,Charlotte N. Sweeney,united states district judge for the district of colorado,"Wednesday, October 20, 2021", district of colorado
Shepard,Charlotte N. Sweeney,united states district judge for the district of colorado,"Wednesday, October 20, 2021", district of colorado
Marderosian And Cohen,Jennifer L. Thurston,united states district judge for the eastern district of california,"Wednesday, October 20, 2021", eastern district of california
David Levi,Jennifer L. Thurston,united states district judge for the eastern district of california,"Wednesday, October 20, 2021", eastern district of california
Bird Marella,Hernan D. Vera,united states district judge for the central district of california,"Wednesday, October 20, 2021", central district of california
MABA,Hernan D. Vera,united states district judge for the central district of california,"Wednesday, October 20, 2021", central district of california
Mark Samuels,Hernan D. Vera,united states district judge for the central district of california,"Wednesday, October 20, 2021", central district of california
Public Interest,Hernan D. Vera,united states district judge for the central district of california,"Wednesday, October 20, 2021", central district of california
State Justice Institute,Hernan D. Vera,united states district judge for the central district of california,"Wednesday, October 20, 2021", central district of california
Diverse Group Of Lawyers,Patricia Tolliver Giles,united states district judge for the eastern district of virginia,"Wednesday, July 28, 2021", eastern district of virginia
Former EDVA US Attorneys,Patricia Tolliver Giles,united states district judge for the eastern district of virginia,"Wednesday, July 28, 2021", eastern district of virginia
Diverse Group Of Lawyers,Michael S. Nachmanoff,united states district judge for the eastern district of virginia,"Wednesday, July 28, 2021", eastern district of virginia
Former EDVA US Attorneys,Michael S. Nachmanoff,united states district judge for the eastern district of virginia,"Wednesday, July 28, 2021", eastern district of virginia
Sheriff Dana Lawhorne,Michael S. Nachmanoff,united states district judge for the eastern district of virginia,"Wednesday, July 28, 2021", eastern district of virginia
Sikh Sewak Society International,Sarala Vidya Nagala,united states district judge for the district of connecticut,"Wednesday, July 28, 2021", district of connecticut
State Senator Anwar,Sarala Vidya Nagala,united states district judge for the district of connecticut,"Wednesday, July 28, 2021", district of connecticut
SABA North America,Sarala Vidya Nagala,united states district judge for the district of connecticut,"Wednesday, July 28, 2021", district of connecticut
Munger Tolles Partners,Sarala Vidya Nagala,united states district judge for the district of connecticut,"Wednesday, July 28, 2021", district of connecticut
Former Partners,Sarala Vidya Nagala,united states district judge for the district of connecticut,"Wednesday, July 28, 2021", district of connecticut
Prosecutors,Sarala Vidya Nagala,united states district judge for the district of connecticut,"Wednesday, July 28, 2021", district of connecticut
Criminal Defense Attorneys From CT,Sarala Vidya Nagala,united states district judge for the district of connecticut,"Wednesday, July 28, 2021", district of connecticut
CT Affinity Bars,Sarala Vidya Nagala,united states district judge for the district of connecticut,"Wednesday, July 28, 2021", district of connecticut
NAPABA,Sarala Vidya Nagala,united states district judge for the district of connecticut,"Wednesday, July 28, 2021", district of connecticut
Anti Human Trafficking Advocates,Sarala Vidya Nagala,united states district judge for the district of connecticut,"Wednesday, July 28, 2021", district of connecticut
ADL CT Regional Office,Sarala Vidya Nagala,united states district judge for the district of connecticut,"Wednesday, July 28, 2021", district of connecticut
"""CT Assistant States Attorneys""",Omar Antonio Williams,united states district judge for the district of connecticut,"Wednesday, July 28, 2021", district of connecticut
22 Prosecutors,Jia M. Cobb,united states district judge for the district of columbia,"Wednesday, July 14, 2021", district of columbia
Norton,Jia M. Cobb,united states district judge for the district of columbia,"Wednesday, July 14, 2021", district of columbia
APABA DC,Florence Y. Pan,united states district judge for the district of columbia,"Wednesday, July 14, 2021", district of columbia
Norton,Florence Y. Pan,united states district judge for the district of columbia,"Wednesday, July 14, 2021", district of columbia
AFBNJ,Karen McGlashan Williams,united states district judge for the district of new jersey,"Wednesday, July 14, 2021", district of new jersey
GSBA,Karen McGlashan Williams,united states district judge for the district of new jersey,"Wednesday, July 14, 2021", district of new jersey
NJSBA,Karen McGlashan Williams,united states district judge for the district of new jersey,"Wednesday, July 14, 2021", district of new jersey
Justice Elam Judicial Conference,Angel Kelley,united states district judge for the district of massachusetts,"Wednesday, June 23, 2021", district of massachusetts
MA Association Of Hispanic Attorneys,Angel Kelley,united states district judge for the district of massachusetts,"Wednesday, June 23, 2021", district of massachusetts
Joel Rosen,Christine P. O'Hearn,united states district judge for the district of new jersey,"Wednesday, June 23, 2021", district of new jersey
NJSBA,Christine P. O'Hearn,united states district judge for the district of new jersey,"Wednesday, June 23, 2021", district of new jersey
John C. Connell,Christine P. O'Hearn,united states district judge for the district of new jersey,"Wednesday, June 23, 2021", district of new jersey
Judge Joel Schneider,Christine P. O'Hearn,united states district judge for the district of new jersey,"Wednesday, June 23, 2021", district of new jersey
"""Sean T. OMeara""",Christine P. O'Hearn,united states district judge for the district of new jersey,"Wednesday, June 23, 2021", district of new jersey
Daniel DeFiglio,Christine P. O'Hearn,united states district judge for the district of new jersey,"Wednesday, June 23, 2021", district of new jersey
Lawyers In NJ,Christine P. O'Hearn,united states district judge for the district of new jersey,"Wednesday, June 23, 2021", district of new jersey
NJ State Committee Of American College Of Trial Lawyers,Christine P. O'Hearn,united states district judge for the district of new jersey,"Wednesday, June 23, 2021", district of new jersey
Women Attorneys In NJ,Christine P. O'Hearn,united states district judge for the district of new jersey,"Wednesday, June 23, 2021", district of new jersey
Women Attorneys In NJ Pt. 2,Christine P. O'Hearn,united states district judge for the district of new jersey,"Wednesday, June 23, 2021", district of new jersey
Camden County Bar Association,Christine P. O'Hearn,united states district judge for the district of new jersey,"Wednesday, June 23, 2021", district of new jersey
Ironworkers Local Union 399,Christine P. O'Hearn,united states district judge for the district of new jersey,"Wednesday, June 23, 2021", district of new jersey
PFAW,David G. Estudillo,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Ephrata City Administrator Mike Warren,David G. Estudillo,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Grant County Department Of Public Defense,David G. Estudillo,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Judges Forbes And Ramseyer,David G. Estudillo,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Moses Lake Adoptions Unit,David G. Estudillo,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Moses Lake Mayor Curnel,David G. Estudillo,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Moses Lake Police Chief Kevin Fuhr,David G. Estudillo,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
WSAJ,David G. Estudillo,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Judge Riquelme,David G. Estudillo,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
AFJ,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
PFAW,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Ewiiaapaayp Band Of Kumeyaay Indians,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
NCAI And NARF,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Samish Indian Nation,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Midwest Alliance Of Sovereign Tribes,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Nez Perce Tribe,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Ponca Tribe Of Nebraska,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Association Of American Indian Affairs,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Federal Bar Association Of Indian Law Section,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
GPTCA,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
James Williams,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
MAST,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Mechoopda Indian Tribe Of Chico Rancheria,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Muckleshoot Tribe,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
NCAI NARF,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Northwest Indian Bar Association,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Northwest Tribal Court Judges Association,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Sault Tribe Law Enforcement,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Sault Tribe Law Enforcement,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Sault Tribe,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Sault Tribe,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Seattle Indian Health Board,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Seattle Indian Health Board,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Spokane Tribe,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Spokane Tribe,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Suquamish Tribe,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Suquamish Tribe,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
USET SPF,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
USET SPF,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Washington State Gambling Commission,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Washington State Gambling Commission,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
ATNI Resolution Of,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
ATNI Resolution Of,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Ouzinkie Tribal Council,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Ouzinkie Tribal Council,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Foster Garvey,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
NNABA,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Hon. Frances Charles,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Yakama Nation,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
NPA,Lauren J. King,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
AFJ,Tana Lin,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
PFAW,Tana Lin,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
ABAW,Tana Lin,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
FLOW,Tana Lin,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
VABAW,Tana Lin,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
ABAW,Tana Lin,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
FLOW,Tana Lin,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
VABAW,Tana Lin,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
ACLU WA,Tana Lin,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
ACLU WA,Tana Lin,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Michigan Poverty Law Program,Tana Lin,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Michigan Poverty Law Program,Tana Lin,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
NAPABA,Tana Lin,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
NAPABA,Tana Lin,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
NAPAWF,Tana Lin,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
NAPAWF,Tana Lin,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
NLADA,Tana Lin,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
NLADA,Tana Lin,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Randy Hertz,Tana Lin,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Randy Hertz,Tana Lin,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Judge Dyk Law Clerks,Tiffany P. Cunningham,united states district judge for the district of new mexico,"Wednesday, May 26, 2021", district of new mexico
Former Law Clerks,Tiffany P. Cunningham,united states district judge for the district of new mexico,"Wednesday, May 26, 2021", district of new mexico
Former Federal Circuit Law Clerks,Tiffany P. Cunningham,united states district judge for the district of new mexico,"Wednesday, May 26, 2021", district of new mexico
IPLAC,Tiffany P. Cunningham,united states district judge for the district of new mexico,"Wednesday, May 26, 2021", district of new mexico
NCJW,Tiffany P. Cunningham,united states district judge for the district of new mexico,"Wednesday, May 26, 2021", district of new mexico
IIPSJ,Tiffany P. Cunningham,united states district judge for the district of new mexico,"Wednesday, May 26, 2021", district of new mexico
Center For Court Innovation,Julien Xavier Neals,united states district judge for the district of new jersey,"Wednesday, April 28, 2021", district of new jersey
NJSBA,Julien Xavier Neals,united states district judge for the district of new jersey,"Wednesday, April 28, 2021", district of new jersey
Volunteer Lawyers For Justice,Julien Xavier Neals,united states district judge for the district of new jersey,"Wednesday, April 28, 2021", district of new jersey
NAPABA,Zahid N. Quraishi,united states district judge for the district of new jersey,"Wednesday, April 28, 2021", district of new jersey
AI ISNA MPAC,Zahid N. Quraishi,united states district judge for the district of new jersey,"Wednesday, April 28, 2021", district of new jersey
APALA-NJ,Zahid N. Quraishi,united states district judge for the district of new jersey,"Wednesday, April 28, 2021", district of new jersey
Federal Bar NJ,Zahid N. Quraishi,united states district judge for the district of new jersey,"Wednesday, April 28, 2021", district of new jersey
Major General Stuart Risch DJAG,Zahid N. Quraishi,united states district judge for the district of new jersey,"Wednesday, April 28, 2021", district of new jersey
NJMLA,Zahid N. Quraishi,united states district judge for the district of new jersey,"Wednesday, April 28, 2021", district of new jersey
NJSBA,Zahid N. Quraishi,united states district judge for the district of new jersey,"Wednesday, April 28, 2021", district of new jersey
SABA NJ,Zahid N. Quraishi,united states district judge for the district of new jersey,"Wednesday, April 28, 2021", district of new jersey
Board Of Directors DSST Public Schools,Regina M. Rodriguez,united states district judge for the district of colorado,"Wednesday, April 28, 2021", district of colorado
CO Sam Cary Bar Association,Regina M. Rodriguez,united states district judge for the district of colorado,"Wednesday, April 28, 2021", district of colorado
Colorado Lawyers Committee,Regina M. Rodriguez,united states district judge for the district of colorado,"Wednesday, April 28, 2021", district of colorado
Janet Perlstein,Regina M. Rodriguez,united states district judge for the district of colorado,"Wednesday, April 28, 2021", district of colorado
Latinas First Foundation,Regina M. Rodriguez,united states district judge for the district of colorado,"Wednesday, April 28, 2021", district of colorado
Mairead Dolan,Regina M. Rodriguez,united states district judge for the district of colorado,"Wednesday, April 28, 2021", district of colorado
Margit And John Henderson,Regina M. Rodriguez,united states district judge for the district of colorado,"Wednesday, April 28, 2021", district of colorado
Seven Former Bipartisan USAs,Regina M. Rodriguez,united states district judge for the district of colorado,"Wednesday, April 28, 2021", district of colorado
Three Colorado Trial Lawyers,Regina M. Rodriguez,united states district judge for the district of colorado,"Wednesday, April 28, 2021", district of colorado
NAPABA,Regina M. Rodriguez,united states district judge for the district of colorado,"Wednesday, April 28, 2021", district of colorado
